Code postal;Commune;temps_A_min;distance_A_km;temps_B_min;distance_B_km
92048;MEUDON;180.6;348.8;173.3;339.1
35178;MEZIERES SUR COUESNON;26.2;36.5;25.2;36.5
86157;MIGNALOUX BEAUVOIR;184.6;348.9;180.4;357.3
35179;MINIAC MORVAN;35.9;53.7;40.0;60.8
35180;MINIAC SOUS BECHEREL;27.7;34.7;32.8;41.2
44098;MISSILLAC;65.7;90.7;64.4;90.8
56133;MISSIRIAC;51.5;76.1;54.6;80.4
29150;MOELAN SUR MER;107.3;175.7;110.7;180.4
56135;MOLAC;56.9;88.8;59.9;93.1
35183;MONDEVERT;36.2;54.5;29.0;44.8
35186;MONT DOL;45.8;70.7;49.9;77.8
76451;MONT ST AIGNAN;170.1;322.5;168.0;322.1
35184;MONTAUBAN DE BRETAGNE;21.1;29.6;26.8;36.5
72205;MONTBIZOT;96.5;171.1;89.3;161.4
53155;MONTENAY;58.0;80.1;55.3;89.5
56136;MONTENEUF;40.7;54.7;44.1;59.4
35187;MONTERFIL;23.2;26.1;26.3;30.4
35188;MONTFORT SUR MEU;20.5;26.0;27.0;32.9
35189;MONTGERMONT;9.4;7.7;14.8;15.1
35190;MONTHAULT;53.8;76.9;51.4;76.4
71313;MONTHELON;267.9;497.1;260.6;487.4
41145;MONTHOU SUR BIEVRE;168.6;305.1;161.4;295.5
49214;MONTREUIL JUIGNE;78.4;125.5;71.0;115.8
35193;MONTREUIL LE GAST;18.9;22.2;22.9;29.3
35194;MONTREUIL SOUS PEROUSE;39.3;54.2;32.1;44.5
35195;MONTREUIL SUR ILLE;27.2;28.3;31.8;38.1
49218;MONTREVAULT SUR EVRE;98.9;131.5;91.6;121.8
92049;MONTROUGE;181.2;350.8;174.0;341.2
37159;MONTS;223.1;414.8;220.4;388.2
53161;MONTSURS;65.6;101.1;58.3;91.5
35196;MORDELLES;16.8;16.2;20.5;21.5
29151;MORLAIX;107.9;184.0;114.0;190.9
85151;MORTAGNE SUR SEVRE;105.2;173.4;99.7;166.5
35197;MOUAZE;19.3;22.5;20.2;26.6
85153;MOUCHAMPS;113.0;186.7;109.1;180.2
85155;MOUILLERON LE CAPTIF;112.1;183.0;106.6;176.2
53162;MOULAY;64.0;104.4;56.3;94.8
35198;MOULINS;284.3;566.6;276.6;556.9
35200;MOUTIERS;328.5;654.4;322.9;645.1
35201;MUEL;32.9;41.0;38.0;47.6
25418;NANCRAY;368.5;736.4;361.3;726.8
54395;NANCY;367.8;726.4;360.5;716.7
44109;NANTES;69.2;110.8;65.4;104.3
41158;NAVEIL;141.4;237.1;134.1;227.4
47195;NERAC;311.0;588.8;305.5;582.0
29153;NEVEZ;150.7;281.2;150.0;281.1
59431;NIEPPE;304.7;593.7;302.4;593.3
35204;NOUVOITOU;19.3;21.3;11.9;11.6
35206;NOYAL CHATILLON SUR SEICHE;13.5;15.6;6.8;6.0
35205;NOYAL SOUS BAZOUGES;42.0;47.5;44.1;53.9
35207;NOYAL SUR VILAINE;16.8;21.4;11.3;12.1
76481;OCTEVILLE SUR MER;153.1;287.3;152.4;287.2
35208;ORGERES;128.1;248.4;120.9;238.8
45234;ORLEANS;185.1;307.6;176.3;346.7
69148;ORLIENAS;386.9;749.8;379.5;740.2
91471;ORSAY;167.7;330.3;160.5;320.7
50388;ORVAL SUR SIENNE;96.4;138.1;95.4;138.0
44114;ORVAULT;64.8;106.1;59.3;99.3
45240;OUTARVILLE;178.8;320.6;171.6;310.9
35210;PACE;110.1;160.9;102.3;151.3
22162;PAIMPOL;89.1;140.6;94.3;147.1
35211;PAIMPONT;34.6;42.3;38.0;47.0
35212;PANCE;23.7;33.3;19.9;26.8
35214;PARCE;44.5;63.3;42.2;62.9
35215;PARIGNE;44.7;62.2;42.4;61.8
72231;PARIGNE L EVEQUE;126.4;226.1;119.2;216.4
75103;PARIS 03;203.0;386.9;197.4;377.6
75105;PARIS 05;203.0;387.0;197.5;377.7
75106;PARIS 06;178.4;349.0;173.1;339.7
75109;PARIS 09;205.3;387.4;198.1;377.7
75111;PARIS 11;380.2;709.7;373.0;700.1
75113;PARIS 13;73.7;113.3;68.3;106.5
75114;PARIS 14;197.3;363.8;189.6;354.1
75115;PARIS 15;72.6;112.9;68.8;106.5
75116;PARIS 16;231.2;404.0;225.7;397.2
75117;PARIS 17;73.8;113.3;68.8;106.5
75118;PARIS 18;232.5;445.8;225.3;436.1
75119;PARIS 19;181.9;351.3;174.7;341.7
35216;PARTHENAY DE BRETAGNE;16.0;17.4;21.2;24.0
56154;PEILLAC;57.0;80.1;55.6;80.2
61309;PERCHE EN NOCE;125.4;224.1;120.2;214.8
50393;PERCY EN NORMANDIE;66.1;118.0;63.8;117.6
74211;PERS JUSSY;433.3;875.7;426.1;866.1
35219;PIPRIAC;29.8;44.9;30.1;45.4
29160;PLABENNEC;136.4;233.7;142.3;240.5
22171;PLAINTEL;62.3;105.3;68.6;112.2
22172;PLANCOET;56.3;77.0;61.5;83.5
